feature,rows_fired,dataset_rate,base_bull,base_bear,base_neutral,truth_bull,truth_bear,keep_rate,flip_rate,neutralize_help_rate,best_action,best_rate,bull_flip_rate,bull_neutralize_help_rate,bear_flip_rate,bear_neutralize_help_rate,neutral_flip_rate,support_mean_hinge_torsion,support_mean_torque_ratio,support_mean_fan_width_velocity,support_mean_slow_retention,support_mean_transition_score
collapse_warning_plus_inertia_v23,22,0.030303030303030304,1,2,19,9,13,0.045454545454545456,0.09090909090909091,0.6666666666666666,neutralize,0.6666666666666666,1.0,1.0,0.5,0.5,0.0,0.8814326314542078,1.080191064061776,-67.50414828667932,1.96423524215408,1.8181818181818181
inertia_warning_v23,67,0.09228650137741047,1,18,48,34,33,0.13432835820895522,0.14925373134328357,0.5263157894736842,neutralize,0.5263157894736842,1.0,1.0,0.5,0.5,0.0,0.6579768682154118,1.9279894590850073,30.984491236836504,1.7183822642069952,1.492537313432836
energy_cycle_warning_v23,235,0.3236914600550964,33,65,137,112,123,0.251063829787234,0.16595744680851063,0.3979591836734694,neutralize,0.3979591836734694,0.3939393939393939,0.3939393939393939,0.4,0.4,0.0,0.4255507624866942,6.253442058166839,-1.3339487984022276,0.7668329758220275,0.9446808510638298
fan_energy_cycle_v23,149,0.20523415977961432,14,32,103,73,76,0.19463087248322147,0.11409395973154363,0.3695652173913043,neutralize,0.3695652173913043,0.2857142857142857,0.2857142857142857,0.40625,0.40625,0.0,0.4751955678736156,6.724508982260944,1.4461038145626348,0.5886416599306974,1.0604026845637584
transition_gate_v23,175,0.24104683195592286,0,10,165,91,84,0.04,0.017142857142857144,0.3,neutralize,0.3,0.0,0.0,0.3,0.3,0.0,0.8656372410104866,6.130870915230332,1.9953082244829108,0.6591237557600834,2.0
torsion_transition_warning_v23,304,0.418732782369146,12,45,247,146,158,0.13486842105263158,0.05263157894736842,0.2807017543859649,neutralize,0.2807017543859649,0.25,0.25,0.28888888888888886,0.28888888888888886,0.0,0.7597352541828734,7.318721863465177,6.827071695827152,0.6201341308143236,1.5657894736842106
fan_collapse_warning_v23,126,0.17355371900826447,6,12,108,31,95,0.11904761904761904,0.023809523809523808,0.16666666666666666,neutralize,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.7560901315474348,6.764491765387664,-52.619563726135915,0.680675796710559,1.5714285714285714
torsion_plus_inertia_swept,44,0.06060606060606061,0,1,43,21,23,0.022727272727272728,0.0,0.0,keep,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.8673906994103288,1.82661212899511,-7.203265037718996,1.4897237988148762,1.8863636363636365
inertia_wall_active_swept,48,0.06611570247933884,0,1,47,23,25,0.020833333333333332,0.0,0.0,keep,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.8215718916559328,1.8679662611920616,-10.866995337039347,1.4687881433956893,1.8125
torsion_plus_transition_swept,152,0.209366391184573,0,1,151,85,67,0.006578947368421052,0.0,0.0,keep,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.89464206423684,6.440790704558776,1.3182304470477617,0.6770104759242904,2.0
torsion_spring_strong_swept,171,0.23553719008264462,0,1,170,92,79,0.005847953216374269,0.0,0.0,keep,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.8452865583923667,7.279733690076808,0.7721471785046385,0.6638037019641517,1.8888888888888888
torque_imbalance_active_swept,198,0.2727272727272727,1,0,197,94,103,0.005050505050505051,0.0,0.0,keep,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.5401623012176319,7.926554229051128,1.7336991400168498,0.4595425142321406,1.3636363636363635
torque_transition_warning_v23,201,0.2768595041322314,0,0,201,103,97,0.0,0.0,0.0,keep,0.0,0.0,0.0,0.0,0.0,0.0,0.5890176144352416,6.022674842779885,3.2086691069971267,0.49958008554974515,1.5771144278606966
torque_plus_transition_swept,97,0.13360881542699724,0,0,97,55,42,0.0,0.0,0.0,keep,0.0,0.0,0.0,0.0,0.0,0.0,0.8559962868990342,6.103606382061511,10.430826975077093,0.47779767151688557,2.0
collapse_warning_plus_torque_v23,50,0.06887052341597796,0,0,50,12,38,0.0,0.0,0.0,keep,0.0,0.0,0.0,0.0,0.0,0.0,0.7359024512030926,6.459233273537987,-55.626180492794376,0.5108109909516861,1.7
fan_collapse_v23_swept,30,0.04132231404958678,0,0,30,3,27,0.0,0.0,0.0,keep,0.0,0.0,0.0,0.0,0.0,0.0,0.7872868987093907,10.739162191595048,-76.36174971077902,0.4881737581093451,1.8333333333333333
collapse_plus_torsion_swept,27,0.0371900826446281,0,0,27,3,24,0.0,0.0,0.0,keep,0.0,0.0,0.0,0.0,0.0,0.0,0.7991020534211452,11.777579127546632,-79.52120057152987,0.5157943140261692,1.8518518518518519
torque_plus_inertia_swept,13,0.01790633608815427,0,0,13,7,6,0.0,0.0,0.0,keep,0.0,0.0,0.0,0.0,0.0,0.0,0.9306725879673379,3.083996576110727,15.621942767683112,1.0224956073136406,2.0
collapse_plus_torque_swept,9,0.012396694214876033,0,0,9,1,8,0.0,0.0,0.0,keep,0.0,0.0,0.0,0.0,0.0,0.0,0.8471673088471293,3.725828965133487,-62.29401903839284,0.4212738285215083,2.0
collapse_plus_inertia_swept,6,0.008264462809917356,0,0,6,1,5,0.0,0.0,0.0,keep,0.0,0.0,0.0,0.0,0.0,0.0,0.9278089527359933,1.2626379547352782,-132.78969396469378,1.4099479419573981,2.0
